,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,company_name
738,Swift Dzire VDI,563000.0,91892,Diesel,Manual,1st Owner,2016,1197,5,Maruti
739,i20 Asta 1.2,479000.0,50827,Petrol,Manual,2nd Owner,2015,1197,5,Hyundai
740,Baleno 1.2 Alpha,553000.0,69167,Petrol,Manual,1st Owner,2015,1995,5,Maruti
741,5 Series 520d Luxury Line,6575000.0,7000,Diesel,Automatic,1st Owner,2021,998,5,BMW
742,Wagon R LXI CNG,400000.0,25000,Cng,Manual,2nd Owner,2018,995,5,Maruti
743,Spark 1.0 LT,,84489,Petrol,Manual,3rd Owner,2011,1493,5,Chevrolet
744,Seltos HTE D,1182000.0,35343,Diesel,Manual,1st Owner,2021,1995,5,Kia
745,5 Series 520d Modern Line,2950000.0,41000,Diesel,Automatic,1st Owner,2017,998,5,BMW
746,Wagon R VXI BS IV,236000.0,100527,Petrol,Manual,1st Owner,2012,0,5,Maruti
747,Nexon EV Prime XZ Plus,367000.0,54239,Electric,Automatic,1st Owner,2020,799,5,Tata
749,Q7 3.0 TDI Quattro Premium Plus,2174000.0,97000,Diesel,Automatic,2nd Owner,2014,1373,7,Audi
750,Ertiga VXI CNG,486000.0,67231,Cng,Manual,1st Owner,2014,1061,7,Maruti
751,Wagon R LXI Minor Duo LPG,121000.0,74228,Lpg,Manual,1st Owner,2008,998,5,Maruti
752,Celerio VXI CNG Optional BSIV,451000.0,55362,Cng,Manual,1st Owner,2017,1582,5,Maruti
753,Creta 1.6 CRDi AT SX Plus,941000.0,58000,Diesel,Automatic,1st Owner,2015,1197,5,Hyundai
754,i10 Magna AT,179000.0,80896,Petrol,Automatic,3rd Owner,2010,2184,5,Hyundai
755,Thar LX 4-Str Hard Top Diesel,1775000.0,36398,Diesel,Manual,1st Owner,2021,998,4,Mahindra
757,Fortuner Legender 4x4 AT,4445000.0,31000,Diesel,Automatic,1st Owner,2021,1197,7,Toyota
758,Baleno 1.2 Alpha,695000.0,17359,Petrol,Manual,1st Owner,2016,999,5,Maruti
759,Slavia 1.0 TSI Ambition,1270000.0,2263,Petrol,Manual,1st Owner,2022,1497,5,Skoda
760,City i VTEC CVT VX,665000.0,81437,Petrol,Automatic,1st Owner,2014,2179,5,Honda
761,XF 2.2 Litre Luxury,2474000.0,34000,Diesel,Automatic,1st Owner,2016,2143,5,Jaguar
762,E-Class E250 CDI Avantgrade,1925000.0,80228,Diesel,Automatic,2nd Owner,2014,1498,5,Mercedes-Benz
763,City i DTec V,715000.0,65911,Diesel,Manual,1st Owner,2016,1197,5,Honda
765,S5 3.0 TFSIq Tiptronic,6500000.0,11000,Petrol,Automatic,1st Owner,2018,1498,4,Audi
766,Bolero B4,800000.0,25000,Diesel,Manual,1st Owner,2020,1197,7,Mahindra
767,Swift VXI,675000.0,10218,Petrol,Manual,1st Owner,2019,1497,5,Maruti
768,City 1.5 S AT,305000.0,88119,Petrol,Automatic,2nd Owner,2009,1968,5,Honda
769,A6 35 TDI,2185000.0,64000,Diesel,Automatic,2nd Owner,2017,1462,5,Audi
770,Vitara Brezza ZXI Plus,1008000.0,14572,Petrol,Manual,1st Owner,2021,1461,5,Maruti
771,Sunny Diesel XL,421000.0,66512,Diesel,Manual,2nd Owner,2014,1591,5,Nissan
774,Innova 2.5 G4 Diesel 8-seater,566000.0,91865,Diesel,Manual,1st Owner,2011,1493,8,Toyota
775,Seltos HTX Plus D,1785000.0,31409,Diesel,Manual,1st Owner,2020,1586,5,Kia
776,SX4 Vxi BSIV,245000.0,76247,Petrol,Manual,1st Owner,2010,1950,5,Maruti
777,C-Class Progressive C 200,1911000.0,52000,Petrol,Automatic,1st Owner,2016,1497,5,Mercedes-Benz
778,City V MT,361000.0,48267,Petrol,Manual,1st Owner,2011,1497,5,Honda
779,City i VTEC CVT VX,945000.0,31441,Petrol,Automatic,1st Owner,2017,1396,5,Honda
781,CR-V 2.4L 4WD AT,840000.0,80000,Petrol,Automatic,2nd Owner,2014,1586,5,Honda
782,SX4 ZXI MT BSIV,285000.0,65115,Petrol,Manual,2nd Owner,2010,1199,5,Maruti
783,Jazz 1.2 SV i VTEC,465000.0,46149,Petrol,Manual,2nd Owner,2015,1497,5,Honda
784,City V MT,321000.0,65598,Petrol,Manual,1st Owner,2010,2143,5,Honda
785,GLC 220d 4MATIC Sport,3575000.0,72000,Diesel,Automatic,2nd Owner,2018,1461,5,Mercedes-Benz
786,Duster 110PS Diesel RxL,565000.0,72350,Diesel,Manual,1st Owner,2014,1197,5,Renault
787,Baleno 1.2 Zeta,725000.0,18959,Petrol,Manual,1st Owner,2018,1497,5,Maruti
788,City V MT,421000.0,80078,Petrol,Manual,1st Owner,2013,1968,5,Honda
789,Passat Diesel Highline 2.0 TDI,650000.0,58000,Diesel,Automatic,2nd Owner,2011,1591,5,Volkswagen
790,Verna 1.6 VTVT S,649000.0,49613,Petrol,Manual,1st Owner,2017,1461,5,Hyundai
791,Duster 85PS Diesel RxS,830000.0,80002,Diesel,Manual,1st Owner,2019,1330,5,Renault
792,Kicks 1.3 Turbo XV,980000.0,16194,Petrol,Manual,1st Owner,2020,1497,5,Nissan
793,City ZX CVT,1235000.0,55617,Petrol,Automatic,1st Owner,2020,1497,5,Honda
794,City i-VTEC VX,940000.0,38409,Petrol,Manual,1st Owner,2019,1198,5,Honda
795,Brio VX AT,325000.0,68045,Petrol,Automatic,1st Owner,2014,1462,5,Honda
796,Ciaz Alpha BSIV,926000.0,7342,Petrol,Manual,1st Owner,2019,1497,5,Maruti
797,City i-VTEC CVT ZX,945000.0,27914,Petrol,Automatic,1st Owner,2017,998,5,Honda
798,Venue SX Plus Turbo DCT,1260000.0,8639,Petrol,Automatic,1st Owner,2021,998,5,Hyundai
799,Venue SX Plus Turbo DCT,1185000.0,11069,Petrol,Automatic,1st Owner,2021,1497,5,Hyundai
800,City i-VTEC CVT ZX,969000.0,73971,Petrol,Automatic,1st Owner,2018,1199,5,Honda
801,Jazz 1.2 V i VTEC,515000.0,70379,Petrol,Manual,1st Owner,2017,998,5,Honda
802,Venue SX Turbo,999000.0,19108,Petrol,Manual,1st Owner,2021,1591,5,Hyundai
804,Innova 2.5 EV Diesel MS 7 Str BSIII,225000.0,120000,Diesel,Manual,1st Owner,2007,1950,7,Toyota
805,GLC 220d 4MATIC,5650000.0,24000,Diesel,Automatic,1st Owner,2020,1956,5,Mercedes-Benz
806,Compass 2.0 Limited 4X4 Opt Diesel AT,2500000.0,35500,Diesel,Automatic,2nd Owner,2021,1991,5,Jeep
807,GLC 200,6100000.0,15000,Petrol,Automatic,1st Owner,2021,1997,5,Mercedes-Benz
808,F-Pace 2.0 R-Dynamic S Diesel,7400000.0,9900,Diesel,Automatic,1st Owner,2021,1998,5,Jaguar
809,X4 xDrive30i M Sport Silver Shadow Edition,7450000.0,7600,Petrol,Automatic,1st Owner,2022,1497,5,BMW
810,City i-VTEC CVT ZX,890000.0,57826,Petrol,Automatic,2nd Owner,2017,1497,5,Honda
811,Nexon 1.5 Revotorq XM,625000.0,91216,Diesel,Manual,1st Owner,2017,998,5,Tata
812,Venue SX Turbo,999000.0,13731,Petrol,Manual,1st Owner,2021,1497,5,Hyundai
813,City i-VTEC V,750000.0,60477,Petrol,Manual,1st Owner,2017,1248,5,Honda
814,Swift Dzire AMT ZDI,639000.0,105911,Diesel,Automatic,1st Owner,2017,1591,5,Maruti
815,Verna VTVT 1.6 SX,925000.0,18072,Petrol,Manual,2nd Owner,2019,1197,5,Hyundai
816,i20 1.2 Asta,699000.0,53608,Petrol,Manual,1st Owner,2018,1197,5,Hyundai
817,Glanza G,799000.0,17790,Petrol,Manual,1st Owner,2021,1197,5,Toyota
818,Grand i10 Nios Sportz,669000.0,24154,Petrol,Manual,1st Owner,2020,799,5,Hyundai
819,KWID RXT,300000.0,24744,Petrol,Manual,1st Owner,2016,1197,5,Renault
820,Grand i10 Nios Magna Corp Edition,578000.0,38985,Petrol,Manual,2nd Owner,2020,1197,5,Hyundai
821,Ritz VXi,328000.0,41050,Petrol,Manual,1st Owner,2014,998,5,Maruti
822,Alto K10 VXI,368000.0,61714,Petrol,Manual,1st Owner,2017,1462,5,Maruti
823,Vitara Brezza VXI,874000.0,20092,Petrol,Manual,1st Owner,2020,999,5,Maruti
824,Magnite XV Premium,676000.0,74811,Petrol,Manual,1st Owner,2021,1462,5,Nissan
825,Ertiga ZXI Plus,979000.0,8702,Petrol,Manual,1st Owner,2019,1199,7,Maruti
826,Amaze S Petrol BSIV,610000.0,34039,Petrol,Manual,1st Owner,2019,1497,5,Honda
827,City i VTEC CVT VX,670000.0,98285,Petrol,Automatic,2nd Owner,2016,1956,5,Honda
828,Compass 2.0 Limited,1350000.0,72000,Diesel,Manual,1st Owner,2018,1197,5,Jeep
829,Grand i10 Magna,480000.0,50000,Petrol,Manual,1st Owner,2020,1395,5,Hyundai
830,Q3 30 TFSI Premium FWD,1955000.0,120000,Petrol,Automatic,1st Owner,2018,2179,5,Audi
832,Omni E 8 Str STD,125000.0,80000,Petrol,Manual,2nd Owner,2011,1950,5,Maruti
834,C-Class Progressive C 220d,3900000.0,24000,Diesel,Automatic,2nd Owner,2020,1197,7,Mercedes-Benz
835,Innova Crysta 2.4 G MT,1890000.0,43200,Diesel,Manual,1st Owner,2017,2143,5,Toyota
836,i20 Magna Plus,650000.0,42000,Petrol,Manual,1st Owner,2020,1461,5,Hyundai
837,GLE 250d,4400000.0,49000,Diesel,Automatic,1st Owner,2017,2184,5,Mercedes-Benz
838,Verito 1.5 D4 BSIII,180000.0,195000,Diesel,Manual,1st Owner,2013,1197,4,Mahindra
839,Thar LX 4-Str Convert Top Diesel,1650000.0,12200,Diesel,Manual,1st Owner,2021,1950,5,Mahindra
840,Aura SX,690000.0,23000,Petrol,Manual,1st Owner,2021,1582,5,Hyundai
841,E-Class Expression E 220 d BSIV,5800000.0,17000,Diesel,Automatic,1st Owner,2020,1582,5,Mercedes-Benz
842,Creta 1.6 CRDi SX,845000.0,70000,Diesel,Manual,1st Owner,2015,1197,5,Hyundai
843,Creta 1.6 CRDi SX,925000.0,75000,Diesel,Manual,2nd Owner,2016,1995,5,Hyundai
844,Swift VXI,610000.0,72521,Petrol,Manual,1st Owner,2018,1493,5,Maruti
845,X3 xDrive 20d Luxury Line,6000000.0,19000,Diesel,Automatic,1st Owner,2021,998,5,BMW
846,Venue SX Diesel,1150000.0,37233,Diesel,Manual,1st Owner,2020,1498,5,Hyundai
847,S-Presso VXI Plus AT 2019-2022,550000.0,2682,Petrol,Automatic,1st Owner,2020,1950,5,Maruti
848,Polo 1.5 TDI Trendline,410000.0,115000,Diesel,Manual,1st Owner,2016,1582,5,Volkswagen
849,GLC Coupe 300d 4MATIC,7150000.0,24900,Diesel,Automatic,1st Owner,2021,1199,5,Mercedes-Benz
850,Verna CRDi 1.6 SX Option,1095000.0,74000,Diesel,Manual,1st Owner,2019,624,5,Hyundai
851,Amaze S Petrol,640000.0,25102,Petrol,Manual,1st Owner,2019,1997,4,Honda
854,Bolero Pik Up Extra Long FB 1.3T,800000.0,60000,Diesel,Manual,1st Owner,2019,1197,7,Mahindra
856,Baleno 1.2 Alpha,650000.0,37800,Petrol,Manual,1st Owner,2018,1396,7,Maruti
858,i20 Sportz 1.4 CRDi,300000.0,100000,Diesel,Manual,2nd Owner,2012,796,7,Hyundai
859,Innova Crysta 2.4 ZX 7 STR AT,3050000.0,250,Diesel,Automatic,1st Owner,2022,1993,5,Toyota
860,Alto LXi,151000.0,80000,Petrol,Manual,3rd Owner,2010,1197,5,Maruti
861,C-Class C 220d,6200000.0,4000,Diesel,Automatic,1st Owner,2022,1462,5,Mercedes-Benz
862,Baleno Alpha,840000.0,3731,Petrol,Manual,1st Owner,2021,1493,6,Maruti
864,TUV 300 T6 Plus,650000.0,70000,Diesel,Manual,1st Owner,2016,998,5,Mahindra
865,S-Class S 350 d,4775000.0,13000,Diesel,Automatic,2nd Owner,2014,1495,5,Mercedes-Benz
866,Alto K10 VXI,330000.0,65000,Petrol,Manual,1st Owner,2019,1248,5,Maruti
868,Swift Dzire VDi,525000.0,77200,Diesel,Manual,1st Owner,2014,1968,7,Maruti
869,GLS 400d 4MATIC,11700000.0,15000,Diesel,Automatic,2nd Owner,2020,999,5,Mercedes-Benz
870,A6 2.0 TDI,1450000.0,120000,Diesel,Automatic,4th Owner,2013,1497,5,Audi
872,City V AT,425000.0,75200,Petrol,Automatic,1st Owner,2013,998,5,Honda
873,X5 xDrive 30d xLine,8300000.0,25000,Diesel,Automatic,1st Owner,2020,2179,5,BMW
874,Alto K10 2010-2014 VXI,200000.0,80000,Petrol,Manual,4th Owner,2013,1197,7,Maruti
876,Swift LXI,475000.0,65150,Petrol,Manual,1st Owner,2017,1248,7,Maruti
877,Q7 45 TDI Quattro Technology,4600000.0,65000,Diesel,Automatic,1st Owner,2017,2179,5,Audi
878,Swift Dzire VDI,460000.0,80000,Diesel,Manual,2nd Owner,2014,1582,7,Maruti
880,Creta 1.6 SX Automatic Diesel,850000.0,108000,Diesel,Automatic,2nd Owner,2015,1497,7,Hyundai
882,City EXi,129000.0,139000,Petrol,Manual,3rd Owner,2006,1995,7,Honda
883,Tavera B1-7 seats BSII,290000.0,120000,Diesel,Manual,2nd Owner,2011,1498,5,Chevrolet
884,5 Series 520d Luxury Line,4800000.0,29000,Diesel,Automatic,1st Owner,2019,1248,5,BMW
885,Amaze VX CVT Diesel BSIV,450000.0,80105,Diesel,Automatic,2nd Owner,2016,999,5,Honda
886,Vitara Brezza ZDi Plus,875000.0,60000,Diesel,Manual,1st Owner,2019,2143,5,Maruti
887,KWID 1.0 RXT,250000.0,70000,Petrol,Manual,1st Owner,2017,1197,5,Renault
888,GLE 250d,5600000.0,45000,Diesel,Automatic,1st Owner,2019,1248,5,Mercedes-Benz
889,Xcent 1.2 Kappa AT SX Option,375000.0,110000,Petrol,Automatic,1st Owner,2014,1248,5,Hyundai
891,SX4 S Cross DDiS 200 Zeta,725000.0,72568,Diesel,Manual,1st Owner,2017,995,5,Maruti
892,Rover Range Rover 3.0 Petrol LWB Vogue BSIV,19200000.0,40000,Petrol,Automatic,1st Owner,2019,1199,5,Land
893,Spark 1.0 E,105000.0,81000,Petrol,Manual,1st Owner,2009,1248,5,Chevrolet
894,Sail Hatchback 1.2 LS,365000.0,30000,Petrol,Manual,1st Owner,2017,1998,5,Chevrolet
895,Vitara Brezza ZDi Plus,800000.0,100000,Diesel,Manual,2nd Owner,2019,1950,5,Maruti
896,XC60 B5 Inscripition,6850000.0,7000,Petrol,Automatic,1st Owner,2022,1582,5,Volvo
897,E-Class Exclusive E 220d,5600000.0,18770,Diesel,Automatic,1st Owner,2018,1497,5,Mercedes-Benz
898,Verna 1.6 CRDI SX Option,925000.0,85680,Diesel,Manual,1st Owner,2017,1995,5,Hyundai
899,City i VTEC V,725000.0,61548,Petrol,Manual,1st Owner,2016,998,5,Honda
900,X1 sDrive 20d xLine,3000000.0,25000,Diesel,Automatic,1st Owner,2019,1248,5,BMW
901,A-Star Vxi,140000.0,100000,Petrol,Manual,4th Owner,2009,1197,5,Maruti
903,i20 Magna,700000.0,5000,Petrol,Manual,1st Owner,2021,1396,5,Hyundai
904,Ghibli Diesel BSIV,6600000.0,12000,Diesel,Automatic,1st Owner,2016,2179,5,Maserati
905,i20 1.4 Asta,690000.0,84250,Diesel,Manual,2nd Owner,2017,1197,8,Hyundai
906,Scorpio 2.6 SLX CRDe,180000.0,120000,Diesel,Manual,3rd Owner,2002,2143,5,Mahindra
907,Venue S,800000.0,35000,Petrol,Manual,1st Owner,2020,1197,5,Hyundai
908,C-Class C 220 CDI Avantgarde,2150000.0,37000,Diesel,Automatic,2nd Owner,2015,1248,5,Mercedes-Benz
909,i20 Sportz Option 1.2,565000.0,72000,Petrol,Manual,1st Owner,2016,1498,5,Hyundai
911,Rapid 1.5 TDI Ambition,450000.0,80250,Diesel,Manual,2nd Owner,2014,1396,5,Skoda
912,Cayenne Diesel Platinum Edition,5800000.0,50000,Diesel,Automatic,1st Owner,2016,1197,5,Porsche
913,i20 Asta 1.4 CRDi,520000.0,75000,Diesel,Manual,1st Owner,2016,1498,5,Hyundai
914,Baleno Alpha CVT,700000.0,48763,Petrol,Automatic,1st Owner,2018,1991,5,Maruti
915,City i DTec S,725000.0,34142,Diesel,Manual,1st Owner,2016,1199,5,Honda
916,E-Class Exclusive E 200,6700000.0,8900,Petrol,Automatic,1st Owner,2021,999,5,Mercedes-Benz
917,WR-V i-VTEC S,675000.0,25000,Petrol,Manual,1st Owner,2019,1462,7,Honda
918,Triber RXZ,700000.0,25000,Petrol,Manual,1st Owner,2021,1950,7,Renault
919,Ertiga VXI,770000.0,70000,Petrol,Manual,2nd Owner,2019,1199,5,Maruti
920,C-Class Progressive C 200,4250000.0,28000,Petrol,Automatic,1st Owner,2019,1197,5,Mercedes-Benz
921,Altroz XT,650000.0,21000,Petrol,Manual,1st Owner,2020,998,5,Tata
922,i20 Magna,570000.0,40000,Petrol,Manual,1st Owner,2020,1995,5,Hyundai
923,Wagon R LXI BS IV,315000.0,40000,Petrol,Manual,1st Owner,2014,2179,5,Maruti
924,5 Series 525d Luxury Line,2575000.0,65500,Diesel,Automatic,1st Owner,2015,1388,7,BMW
927,Bolero EX NON AC,510000.0,40000,Diesel,Manual,1st Owner,2016,1197,7,Mahindra
928,Land Cruiser VX,16900000.0,27000,Diesel,Automatic,1st Owner,2019,796,5,Toyota
929,i20 Sportz 1.2,525000.0,70000,Petrol,Manual,3rd Owner,2016,1598,5,Hyundai
930,Alto LX,,60000,Petrol,Manual,2nd Owner,2005,1998,5,Maruti
931,Vento Magnific 1.6 Highline,499000.0,40000,Petrol,Manual,1st Owner,2015,1373,5,Volkswagen
932,X1 sDrive20i xLine,4000000.0,10000,Petrol,Automatic,1st Owner,2021,1061,7,BMW
933,Ertiga VXI,595000.0,40000,Petrol,Manual,2nd Owner,2015,1197,5,Maruti
934,Zen Estilo 1.1 LX BSIII,,29081,Petrol,Manual,3rd Owner,2006,2179,5,Maruti
935,Xcent 1.2 VTVT S,536000.0,30000,Petrol,Manual,1st Owner,2018,1984,7,Hyundai
936,Hexa XT,1095000.0,66000,Diesel,Manual,1st Owner,2017,1197,5,Tata
937,Q5 2.0 TFSI Quattro,1200000.0,80000,Petrol,Automatic,2nd Owner,2012,1198,5,Audi
938,Swift Dzire VXI,720000.0,6200,Petrol,Manual,1st Owner,2022,1998,2,Maruti
939,Super Carry STD,470000.0,20000,Petrol,Manual,2nd Owner,2021,796,4,Maruti
940,3 DOOR John Cooper Works 2019-2020,3450000.0,40000,Petrol,Automatic,2nd Owner,2017,1197,4,Mini
941,800 Std MPFi,,80000,Petrol,Manual,2nd Owner,2003,1599,5,Maruti
943,Optra 1.6,150000.0,60000,Petrol,Manual,3rd Owner,2006,796,5,Chevrolet
944,XC60 D5 Inscription,5450000.0,34000,Diesel,Automatic,1st Owner,2019,2179,4,Volvo
945,800 DX 5 Speed,,30000,Petrol,Manual,1st Owner,2002,796,7,Maruti
946,Scorpio S5 BSIV,1150000.0,120000,Diesel,Manual,1st Owner,2019,1999,4,Mahindra
947,800 Std,,50000,Petrol,Manual,4th Owner,2000,1197,7,Maruti
948,Rover Discovery Sport TD4 HSE 7S,4875000.0,38000,Diesel,Automatic,1st Owner,2020,1799,5,Land
949,Swift VXI with ABS,125000.0,85000,Petrol,Manual,2nd Owner,2006,998,5,Maruti
951,Zen Estilo VXI BSIII,,120000,Petrol,Manual,2nd Owner,2007,1498,5,Maruti
953,BR-V i-DTEC E MT,650000.0,65500,Diesel,Manual,1st Owner,2017,1461,7,Honda
954,Tavera B2 8 Seats BSIII,170000.0,380000,Diesel,Manual,4th Owner,2008,998,8,Chevrolet
955,Lodgy Stepway Edition 8 Seater,700000.0,50000,Diesel,Manual,2nd Owner,2016,993,5,Renault
956,S-Presso VXI Plus 2019-2022,390000.0,40000,Petrol,Manual,1st Owner,2019,796,5,Maruti
957,Zen LXI,,100000,Petrol,Manual,2nd Owner,2000,1396,5,Maruti
959,i20 Sportz 1.4 CRDi,550000.0,90000,Diesel,Manual,1st Owner,2016,998,5,Hyundai
960,Marshal DI,490000.0,100000,Diesel,Manual,1st Owner,2004,2179,8,Mahindra
961,Alto K10 VXI,290000.0,50000,Petrol,Manual,3rd Owner,2018,2179,8,Maruti
962,Scorpio Sle,350000.0,110000,Diesel,Manual,4th Owner,2010,1461,5,Mahindra
963,Scorpio VLS AT 2.2 mHAWK,480000.0,120000,Diesel,Automatic,2nd Owner,2012,998,5,Mahindra
964,Duster 85PS Diesel RxL,475000.0,116000,Diesel,Manual,1st Owner,2015,1968,5,Renault
966,Octavia 2.0 TDI AT Style Plus,1400000.0,75000,Diesel,Automatic,2nd Owner,2017,1299,5,Skoda
967,Bolero SLX 2WD BSIII,400000.0,120000,Diesel,Manual,4th Owner,2013,1061,5,Mahindra
968,Ikon 1.3 CLXi,120000.0,70000,Petrol,Manual,2nd Owner,2004,796,5,Ford
969,Wagon R LXI Minor,160000.0,90000,Petrol,Manual,1st Owner,2009,799,5,Maruti
970,Alto LX BSIII,100000.0,120000,Petrol,Manual,4th Owner,2010,1493,5,Maruti
971,KWID RXT,430000.0,25000,Petrol,Manual,1st Owner,2020,1196,7,Renault
972,City 1.5 EXI,175000.0,263000,Petrol,Manual,1st Owner,2004,998,5,Honda
973,Eeco 7 Seater Standard BSIV,270000.0,110000,Petrol,Manual,1st Owner,2017,1061,5,Maruti
974,Wagon R VXI Optional,400000.0,10000,Petrol,Manual,3rd Owner,2018,1248,5,Maruti
975,Wagon R LX Minor Duo LPG,100000.0,137535,Lpg,Manual,1st Owner,2007,1196,5,Maruti
976,Swift VDI Optional,370000.0,90000,Diesel,Manual,2nd Owner,2015,1956,5,Maruti
977,Eeco CNG 5 Seater AC,403000.0,35000,Cng,Manual,1st Owner,2021,1196,5,Maruti
978,Compass 2.0 Limited,1600000.0,40000,Diesel,Manual,1st Owner,2019,1582,5,Jeep
979,Eeco 5 Seater STD 2020-2022,520000.0,39000,Petrol,Manual,1st Owner,2020,1582,5,Maruti
980,Creta 1.6 SX Automatic Diesel,1590000.0,73200,Diesel,Automatic,1st Owner,2018,998,5,Hyundai
981,Verna 1.6 CRDi SX,990000.0,88500,Diesel,Manual,1st Owner,2017,1197,5,Hyundai
982,Alto K10 VXI,360000.0,49000,Petrol,Manual,1st Owner,2018,1497,5,Maruti
983,i20 Asta Option,740000.0,45000,Petrol,Manual,1st Owner,2018,1498,5,Hyundai
984,City GXi,181000.0,114862,Petrol,Manual,1st Owner,2008,1199,5,Honda
985,City i DTEC V,950000.0,147947,Diesel,Manual,1st Owner,2015,1061,5,Honda
986,Amaze VX CVT,947000.0,4391,Petrol,Automatic,1st Owner,2022,1198,5,Honda
987,Wagon R LXI Minor Duo LPG,,115549,Lpg,Manual,1st Owner,2007,1598,5,Maruti
988,Amaze SX i-VTEC,445000.0,38738,Petrol,Manual,1st Owner,2016,1462,5,Honda
989,SX4 S Cross DDiS 320 Delta,635000.0,85762,Diesel,Manual,1st Owner,2015,1497,5,Maruti
990,Urban cruiser Mid,782000.0,27987,Petrol,Manual,1st Owner,2022,1197,5,Toyota
991,City 1.5 V MT,302000.0,141918,Petrol,Manual,1st Owner,2010,1120,5,Honda
992,Baleno Zeta,723000.0,39558,Petrol,Manual,1st Owner,2021,1248,5,Maruti
993,Grand i10 CRDi Asta Option,344000.0,68456,Diesel,Manual,2nd Owner,2013,998,5,Hyundai
994,Swift VDI,340000.0,86000,Diesel,Manual,1st Owner,2011,796,5,Maruti
995,S-Presso VXI Plus 2019-2022,440000.0,29782,Petrol,Manual,1st Owner,2021,1248,5,Maruti
996,Alto LX,115000.0,95046,Petrol,Manual,2nd Owner,2011,2179,8,Maruti
997,Ciaz ZDi Plus SHVS,496000.0,133053,Diesel,Manual,1st Owner,2016,1198,5,Maruti
998,Scorpio VLX 2WD AT BSIV,462000.0,151537,Diesel,Automatic,2nd Owner,2013,796,8,Mahindra
999,Amaze S i-VTEC,440000.0,91437,Petrol,Manual,1st Owner,2017,2143,5,Honda
1000,Omni E MPI STD BSIV,178000.0,11615,Petrol,Manual,1st Owner,2015,1197,5,Maruti
1001,E-Class E250 CDI Avantgarde,1121000.0,85471,Diesel,Automatic,2nd Owner,2012,1396,5,Mercedes-Benz
1002,i20 Sportz 1.2,340000.0,82591,Petrol,Manual,1st Owner,2013,1461,5,Hyundai
1003,i20 1.4 Asta Option,725000.0,73000,Diesel,Manual,1st Owner,2017,1495,5,Hyundai
1004,Duster 110PS Diesel RxZ Plus,421000.0,68000,Diesel,Manual,1st Owner,2012,1497,5,Renault
1005,Accent Executive LPG,128000.0,73592,Lpg,Manual,2nd Owner,2010,1248,5,Hyundai
1006,City 1.5 S MT,248000.0,114361,Petrol,Manual,5th Owner,2009,1198,5,Honda
1007,Ciaz ZDi,516000.0,84193,Diesel,Manual,2nd Owner,2014,1497,5,Maruti
1008,Ameo 1.2 MPI Highline Plus,525000.0,57000,Petrol,Manual,2nd Owner,2017,1462,5,Volkswagen
1009,City i VTEC VX,593000.0,48727,Petrol,Manual,1st Owner,2014,1199,5,Honda
1010,Brezza Zxi,1043000.0,6510,Petrol,Manual,1st Owner,2022,1598,5,Maruti
1011,Amaze S Petrol,665000.0,33088,Petrol,Manual,1st Owner,2021,1197,5,Honda
1012,Rapid 1.6 TDI Elegance,245000.0,151434,Diesel,Manual,3rd Owner,2011,1598,5,Skoda
1013,Swift Dzire VXI 1.2,547000.0,21166,Petrol,Manual,1st Owner,2017,1086,5,Maruti
1014,Vento Diesel Trendline,251000.0,106647,Diesel,Manual,2nd Owner,2012,1197,5,Volkswagen
1016,Grand i10 Magna,301000.0,128281,Petrol,Manual,1st Owner,2014,1198,5,Hyundai
1018,Micra XL Option CVT,493000.0,13333,Petrol,Automatic,1st Owner,2019,1968,5,Nissan
1019,Xylo D4,259000.0,151026,Diesel,Manual,2nd Owner,2014,1598,5,Mahindra
1020,Superb Elegance 2.0 TDI CR AT,393000.0,134521,Diesel,Automatic,2nd Owner,2011,1995,5,Skoda
1021,Rapid 1.6 TDI Elegance,290000.0,132996,Diesel,Manual,2nd Owner,2012,1498,5,Skoda
1022,X4 M Sport X xDrive20d,5650000.0,29000,Diesel,Automatic,1st Owner,2019,1598,5,BMW
1023,City ZX MT,1292000.0,19534,Petrol,Manual,1st Owner,2020,998,5,Honda
1024,Rapid 1.6 MPI Ambition BSIV,644000.0,88673,Petrol,Manual,1st Owner,2019,1198,5,Skoda
1025,i20 Asta Opt Turbo DCT,1093000.0,32272,Petrol,Automatic,1st Owner,2020,1086,5,Hyundai
1026,Polo 1.2 MPI Trendline,433000.0,26850,Petrol,Manual,2nd Owner,2017,814,5,Volkswagen
1027,i10 Era 1.1,,120426,Petrol,Manual,4th Owner,2009,1598,5,Hyundai
1028,EON Era Plus,246000.0,21796,Petrol,Manual,1st Owner,2015,1496,5,Hyundai
1029,Vento Diesel Comfortline,269000.0,118881,Diesel,Manual,1st Owner,2012,1197,5,Volkswagen
1030,Yaris G BSIV,775000.0,32039,Petrol,Manual,2nd Owner,2018,2179,7,Toyota
1031,Baleno 1.2 Alpha,537000.0,124763,Petrol,Manual,1st Owner,2017,2179,7,Maruti
1032,Scorpio S8 7C Seater,695000.0,201197,Diesel,Manual,3rd Owner,2015,1197,5,Mahindra
1033,XUV500 W10 2WD,851000.0,81672,Diesel,Manual,2nd Owner,2015,998,5,Mahindra
1034,Swift Dzire VXI,732000.0,20248,Petrol,Manual,1st Owner,2021,998,5,Maruti
1035,Wagon R VXI BS IV,221000.0,73639,Petrol,Manual,1st Owner,2012,1198,5,Maruti
