,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,company_name
62,Q3 2.0 TDI,1390000.0,69500,Diesel,Automatic,1st Owner,2012,1968,5,Audi
65,A-Star Zxi,153000.0,46257,Petrol,Manual,3rd Owner,2008,998,5,Maruti
66,Ecosport 1.5 DV5 MT Titanium,509000.0,78264,Diesel,Manual,2nd Owner,2015,1498,5,Ford
67,Jazz 1.2 S AT i VTEC,546000.0,42451,Petrol,Automatic,1st Owner,2016,1199,5,Honda
68,Vento Diesel Highline,273000.0,131861,Diesel,Manual,2nd Owner,2012,1598,5,Volkswagen
69,Wagon R VXI BS IV,180000.0,128004,Petrol,Manual,2nd Owner,2012,998,5,Maruti
70,Beat Diesel PS,110000.0,150349,Diesel,Manual,1st Owner,2012,936,5,Chevrolet
71,Wagon R VXI BS IV,369000.0,29033,Petrol,Manual,1st Owner,2017,998,5,Maruti
72,3 Series 320d Luxury Line,1350000.0,99000,Diesel,Automatic,1st Owner,2015,1995,5,BMW
73,KWID RXL,275000.0,47000,Petrol,Manual,1st Owner,2018,799,5,Renault
74,Baleno 1.3 Sigma,550000.0,35000,Diesel,Manual,1st Owner,2018,1248,5,Maruti
75,C-Class C 220 CDI BE COR,975000.0,58000,Diesel,Automatic,1st Owner,2013,2143,5,Mercedes-Benz
76,City S,400000.0,48000,Petrol,Manual,1st Owner,2012,1497,5,Honda
77,Amaze VX AT i-Vtech,475000.0,45000,Petrol,Automatic,1st Owner,2014,1198,5,Honda
78,EON D Lite,190000.0,60000,Petrol,Manual,2nd Owner,2012,814,5,Hyundai
79,i20 Magna Optional 1.2,465000.0,23000,Petrol,Manual,1st Owner,2014,1197,5,Hyundai
80,Grand i10 1.2 Kappa Era,460000.0,45000,Petrol,Manual,1st Owner,2019,1197,5,Hyundai
81,i10 Magna 1.1L,325000.0,45000,Petrol,Manual,1st Owner,2014,1086,5,Hyundai
82,Ertiga VDI,525000.0,58000,Diesel,Manual,1st Owner,2013,1248,7,Maruti
83,i20 1.2 Spotz,625000.0,48000,Petrol,Manual,1st Owner,2018,1197,5,Hyundai
84,2 Series 220i M Sport,4000000.0,18000,Petrol,Automatic,1st Owner,2021,1998,5,BMW
85,Kushaq 1.0 TSI Style 6 Airbags AT,1675000.0,16000,Petrol,Automatic,1st Owner,2022,999,5,Skoda
86,City i-VTEC VX,1000000.0,24000,Petrol,Manual,1st Owner,2019,1497,5,Honda
87,Hector Plus Select Diesel MT 7 STR,1790000.0,36000,Diesel,Manual,1st Owner,2021,1956,7,MG
88,Compass 1.4 Limited Plus,1390000.0,35000,Petrol,Automatic,2nd Owner,2019,1368,5,Jeep
89,Amaze E Petrol BSIV,610000.0,64000,Petrol,Manual,1st Owner,2019,1199,5,Honda
90,Vitara Brezza VDi,775000.0,72000,Diesel,Manual,1st Owner,2017,1248,5,Maruti
91,Grand i10 Magna,460000.0,29900,Petrol,Manual,1st Owner,2015,1197,5,Hyundai
92,XUV700 AX5 Diesel AT,2091000.0,20000,Diesel,Automatic,1st Owner,2022,2198,5,Mahindra
93,Indigo VX BSIV,310000.0,160000,Diesel,Manual,1st Owner,2013,1396,5,Tata
94,Tiago XZ Plus,565000.0,16000,Petrol,Manual,1st Owner,2020,1199,5,Tata
95,WR-V i-VTEC VX,900000.0,17000,Petrol,Manual,1st Owner,2019,1199,5,Honda
97,M-Class ML 250 CDI,2850000.0,38000,Diesel,Automatic,2nd Owner,2015,2143,5,Mercedes-Benz
98,Jazz 1.5 SV i DTEC,550000.0,32000,Diesel,Manual,1st Owner,2015,1498,5,Honda
99,Polo 1.2 MPI Comfortline,450000.0,67000,Petrol,Manual,1st Owner,2015,1198,5,Volkswagen
100,Ecosport 1.5 Petrol Titanium AT,675000.0,50000,Petrol,Automatic,1st Owner,2016,1496,5,Ford
101,Swift VDI BSIV,180000.0,110000,Diesel,Manual,2nd Owner,2010,1248,5,Maruti
102,Verna VTVT 1.6 AT EX,775000.0,51000,Petrol,Automatic,1st Owner,2017,1591,5,Hyundai
103,Grand i10 1.2 CRDi Sportz,550000.0,83000,Diesel,Manual,1st Owner,2017,1186,5,Hyundai
104,Q3 35 TDI Quattro Premium,2400000.0,38000,Diesel,Automatic,1st Owner,2016,1968,5,Audi
